where,where_idea,ccode
United States,USA,2
Saudi Arabia,SAU,670
Australia,AUL,900
Iraq,IRQ,645
United Kingdom,UK_,200
Barbados,BAR,53
Guatemala,GUA,90
Japan,JPN,740
Mexico,MEX,70
Afghanistan,AFG,700
Colombia,COL,100
Venezuela,VEN,101
South Korea,ROK,732
Canada,CAN,20
Haiti,HAI,41
Nigeria,NIG,475
Cuba,CUB,40
Sri Lanka,SRI,780
Pakistan,PAK,770
Bangladesh,BNG,771
India,IND,750
China,CHN,710
Iran,IRN,630
Bosnia and Herzegovina,BOS,346
Nepal,NEP,790
Russia,RUS,365
Niger,NIR,436
Libya,LIB,620
Burma,MYA,775
Egypt,EGY,651
France,FRN,220
Greece,GRC,350
Germany,FRG,255
Italy,ITA,325
Spain,SPN,230
Norway,NOR,385
Belgium,BEL,211
Mozambique,MZM,541
Austria,AUS,305
Netherlands,NTH,210
Turkey,TUR,640
Switzerland,SWZ,225
Ireland,IRE,205
Portugal,POR,235
Corsica,COR,NA
Sweden,SWD,380
Somalia,SOM,520
Macedonia,MAC,343
Panama,PAN,95
Israel,ISR,666
Croatia,CRO,344
Estonia,EST,366
Luxembourg,LUX,212
Rwanda,RWA,517
Serbia and Montenegro,SER,NA
Poland,POL,290
North Korea,PRK,731
Vatican,VAT,327
Denmark,DEN,390
Argentina,ARG,160
Chad,CHA,483
Soviet Union,USR,NA
Albania,ALB,339
Finland,FIN,375
Equatorial Guinea,EQG,411
Europa Island,EUR,NA
Yugoslavia,YUG,345
Palestine,PAL,NA
El Salvador,SAL,92
Thailand,THI,800
Lebanon,LEB,660
Bulgaria,BUL,355
Romania,RUM,360
Paraguay,PAR,150
Azerbaijan,AZE,373
Gibralter,GIB,NA
Ukraine,UKR,369
Philippines,PHI,840
Algeria,ALG,615
Morocco,MOR,600
Syria,SYR,652
South Africa,SAF,560
Chile,CHL,155
Indonesia,INS,850
Brazil,BRA,140
Singapore,SIN,830
Yemen,YEM,679
Cyprus,CYP,352
United Arab Emirates,UAE,696
Kyrgyzstan,KYR,703
Mauritania,MAA,435
Sudan,SUD,625
Kuwait,KUW,690
Burkina Faso,BFO,439
Jordan,JOR,663
Tunisia,TUN,616
Fiji,FJI,950
Guinea Bissau,GNB,404
Hungary,HUN,310
Dominican Republic,DOM,42
Malaysia,MAL,820
Taiwan,TAW,713
Vietnam,DRV,816
Cambodia,CAM,811
Uruguay,URU,165
Mongolia,MON,712
Papua New Guinea,PNG,910
New Zealand,NEW,920
Peru,PER,135
Costa Rica,COS,94
Honduras,HON,91
Nicaragua,NIC,93
Bolivia,BOL,145
Jamaica,JAM,51
Ecuador,ECU,130
Suriname,SUR,115
Georgia,GRG,372
Armenia,ARM,371
Tajikistan,TAJ,702
Czechoslovakia,CZE,315
Uzbekistan,UZB,704
Czech Republic,CZR,316
Slovenia,SLV,349
NA,MED,NA
Montenegro,MOT,341
Moldova,MLD,359
Belarus,BLR,370
Kazakhstan,KZK,705
Slovakia,SLO,317
Democratic Republic of the Congo,ZAI,490
Madagascar,MAG,580
Uganda,UGA,500
Senegal,SEN,433
Togo,TOG,461
Liberia,LBR,450
Tanzania,TAZ,510
Kenya,KEN,501
Angola,ANG,540
Cameroon,CAO,471
Comoros,COM,581
Cote d Ivoire,IVO,NA
Namibia,NAM,565
Reunion,REU,NA
Sierra Leone,SIE,451
Ethiopia,ETH,530
Malawi,MAW,553
Guinea,GUI,438
Mali,MLI,432
Central African Republic,CEN,482
Republic of the Congo,CON,484
Zimbabwe,ZIM,552
Zambia,ZAM,551
Burundi,BUI,516
Gabon,GAB,481
Lesotho,LES,570
Ghana,GHA,452
Gambia,GAM,420
NA,GDR,265
NA,YPR,680
Bahrain,BAH,692
Belize,BLZ,80
Trinidad and Tobago,TRI,52
Isle of Man,IOM,NA
NA,LEI,NA
Maldives,MAD,781
Benin,BEN,434
Monaco,MCO,NA
Virgin Islands,VIR,NA
French Polynesia,FPO,NA
Lithuania,LIT,368
Latvia,LAT,367
Andorra,AND,232
Sao Tome and Principe,SAO,403
Saint Lucia,STL,56
Eritrea,ERI,531
Malta,MLT,338
Northern Ireland,NIRE,NA
NA,LEIP,NA
Turkmenistan,TKM,701
Brunei,BRU,835
Guyana,GUY,110
Kosovo,KOS,347
Mauritius,MAS,590
Puerto Rico,PTR,NA
Norfolk Island,NFI,NA
NA,PRK/,NA
Bahamas,BHM,31
American Samoa,ASA,NA
French Guiana,FGU,NA
Botswana,BOT,571
Swaziland,SWA,572
Antigua and Barbuda,ANT,58
Cape Verde,CAP,402
Solomon Islands,SOL,940
Oman,OMA,698
Bermuda,BER,NA
Qatar,QAT,694
Vanuatu,VAN,935
Laos,LAO,812
Netherland Antilles,NTA,NA
Prince Edward Island,PEI,NA
