year,quarter,n_events,n_dissent_events,frac_dissent_events,pi,eta
1990.0,1,93782.0,401.0,0.0042758738350642984,0.16063612437071495,-3.5557919603930075
1990.0,2,95038.0,434.0,0.0045665944148656325,0.15937063331655582,-3.553097734342485
1990.0,3,98559.0,368.0,0.0037338041173307357,0.16731806100578148,-3.511128118766586
1990.0,4,95004.0,453.0,0.004768220285461665,0.16348816678341824,-3.495595285815093
1991.0,1,106688.0,475.0,0.004452234553089382,0.15848404618911083,-3.565220858013617
1991.0,2,105456.0,431.0,0.004087012592929752,0.15274284004526095,-3.653006536157671
1991.0,3,100732.0,391.0,0.0038815867847357345,0.1502032841108422,-3.654320488178106
1991.0,4,106855.0,349.0,0.003266108277572411,0.1555860538456658,-3.6507938780823124
1992.0,1,114487.0,409.0,0.0035724580083328237,0.14822909742790877,-3.735947394896401
1992.0,2,113047.0,436.0,0.003856802922678178,0.14221094324128486,-3.765807724344997
1992.0,3,111299.0,454.0,0.004079102238115347,0.14652537265305451,-3.7105545509962554
1992.0,4,118065.0,484.0,0.004099436750942278,0.14544426653547524,-3.7658648225484277
1993.0,1,127829.0,428.0,0.0033482230166863546,0.14695208512397745,-3.8123876065094535
1993.0,2,132514.0,442.0,0.003335496626771511,0.14068631598930398,-3.870953763323793
1993.0,3,136523.0,497.0,0.0036404122382309207,0.14212481132104804,-3.8820131524017842
1993.0,4,150679.0,469.0,0.0031125770678063964,0.1333490916398597,-4.034002310893381
1994.0,1,161047.0,475.0,0.0029494495395754033,0.13085629158720957,-4.094747123330185
1994.0,2,164688.0,459.0,0.0027870883124453513,0.12894828487975504,-4.128164505647788
1994.0,3,156253.0,446.0,0.002854345196572226,0.12154784802216419,-4.224995980825838
1994.0,4,159915.0,479.0,0.0029953412750523714,0.11965479004792888,-4.20102773277119
1995.0,1,175488.0,439.0,0.002501595550692925,0.11730790038526892,-4.294618144931183
1995.0,2,171549.0,426.0,0.002483255513002116,0.1205066690855216,-4.2194805719820865
1995.0,3,168934.0,443.0,0.0026223258787455455,0.12354913401434159,-4.209355429047079
1995.0,4,177921.0,471.0,0.0026472423154096482,0.12204451032437727,-4.230123098502037
1996.0,1,187638.0,524.0,0.0027926113047463735,0.11903052482687992,-4.283716224362233
1996.0,2,191134.0,505.0,0.002642125419862505,0.12555966092302023,-4.235151067160228
1996.0,3,182155.0,459.0,0.0025198320111992534,0.12022772045855327,-4.287981148340555
1996.0,4,185727.0,429.0,0.0023098418646723415,0.12147657690215984,-4.28906426361981
1997.0,1,194450.0,563.0,0.0028953458472615067,0.11908005286140304,-4.325568251205235
1997.0,2,210625.0,535.0,0.002540059347181009,0.12087607312963061,-4.295382241389539
1997.0,3,196150.0,397.0,0.002023961254142238,0.11748121001729729,-4.327399070630455
1997.0,4,197949.0,365.0,0.001843909289766556,0.11747212259727652,-4.345767036818178
1998.0,1,199445.0,394.0,0.001975481962445787,0.11730585211252773,-4.355162557896299
1998.0,2,197856.0,387.0,0.001955967976710335,0.11826384910340915,-4.316022091376417
1998.0,3,191972.0,362.0,0.0018856916633675745,0.12185817065921939,-4.300551619895334
1998.0,4,184991.0,354.0,0.0019136066078890325,0.12826664945623203,-4.208423248730925
1999.0,1,187585.0,392.0,0.0020897193272383188,0.12489739153311732,-4.235675047665783
1999.0,2,184130.0,291.0,0.00158040514853636,0.12444865363497525,-4.2672160810639594
1999.0,3,177819.0,300.0,0.0016871088016466181,0.12576264708327664,-4.2134498244604
1999.0,4,173083.0,337.0,0.0019470427482768382,0.13103741066217311,-4.155706378966627
2e3,1,202936.0,344.0,0.0016951157015019514,0.12604407147681126,-4.299646005778064
2e3,2,198115.0,434.0,0.0021906468465285314,0.12052315268781184,-4.34313573739259
2e3,3,187823.0,360.0,0.0019166981679560012,0.12020800090285505,-4.311904714691743
2e3,4,182721.0,344.0,0.0018826516930183176,0.12716282149600827,-4.211819155351552
2001.0,1,202982.0,347.0,0.001709511188184174,0.12578581536795208,-4.262118751180843
2001.0,2,197799.0,381.0,0.0019261978068645443,0.13447991958306257,-4.159511467828018
2001.0,3,196633.0,413.0,0.002100359553076035,0.1376814436021139,-4.112980561536404
2001.0,4,193735.0,427.0,0.0022040416032208946,0.14683171588827104,-3.9795155427077824
2002.0,1,180047.0,336.0,0.0018661793864935268,0.14569367430796182,-4.000810096026141
2002.0,2,178841.0,349.0,0.0019514540849134147,0.1466551037168985,-3.981160026219533
2002.0,3,172983.0,337.0,0.001948168317117867,0.15190732371439716,-3.923223036181722
2002.0,4,161711.0,284.0,0.0017562194284866212,0.16360095119285198,-3.7679494920005645
2003.0,1,154565.0,387.0,0.0025038009898748098,0.16525776480199716,-3.7249661408623536
2003.0,2,148033.0,317.0,0.002141414414353556,0.16987832053967317,-3.673772995531512
2003.0,3,93208.0,314.0,0.0033688095442451294,0.18374362047742598,-3.361671648884829
2003.0,4,61856.0,394.0,0.006369632695292292,0.2035116324747502,-2.965130070269921
2004.0,1,109444.0,462.0,0.004221336939439348,0.18083161595570904,-3.4117037068024065
2004.0,2,109393.0,704.0,0.0064355123271141665,0.1789695118372203,-3.3876487664360577
2004.0,3,107495.0,718.0,0.0066793804362993625,0.17378852745988366,-3.430473194505988
2004.0,4,101628.0,671.0,0.006602511118982957,0.18578277738418983,-3.3108939943536106
